observed_at,channel,keyword_raw,entity,metric_type,metric_value,metadata
2021-08-05,naver_datalab,럭비티,,search_index,10.13133,"{""ages"": null, ""device"": null, ""gender"": null, ""keywords"": [""럭비티"", ""럭비셔츠""], ""normalized"": true, ""note"": ""요청 안에서 최댓값 100 으로 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-05,naver_datalab,럭비티,gender=f,search_index,4.7619,"{""ages"": null, ""device"": null, ""gender"": ""f"", ""keywords"": [""럭비티"", ""럭비셔츠""], ""normalized"": true, ""note"": ""요청 안에서 최댓값 100 으로 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-05,naver_datalab,럭비티,gender=m,search_index,12.71929,"{""ages"": null, ""device"": null, ""gender"": ""m"", ""keywords"": [""럭비티"", ""럭비셔츠""], ""normalized"": true, ""note"": ""요청 안에서 최댓값 100 으로 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-06,naver_datalab,럭비티,,search_index,14.07129,"{""ages"": null, ""device"": null, ""gender"": null, ""keywords"": [""럭비티"", ""럭비셔츠""], ""normalized"": true, ""note"": ""요청 안에서 최댓값 100 으로 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-06,naver_datalab,럭비티,gender=f,search_index,3.08123,"{""ages"": null, ""device"": null, ""gender"": ""f"", ""keywords"": [""럭비티"", ""럭비셔츠""], ""normalized"": true, ""note"": ""요청 안에서 최댓값 100 으로 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-06,naver_datalab,럭비티,gender=m,search_index,22.36842,"{""ages"": null, ""device"": null, ""gender"": ""m"", ""keywords"": [""럭비티"", ""럭비셔츠""], ""normalized"": true, ""note"": ""요청 안에서 최댓값 100 으로 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-07,naver_datalab,럭비티,,search_index,12.75797,"{""ages"": null, ""device"": null, ""gender"": null, ""keywords"": [""럭비티"", ""럭비셔츠""], ""normalized"": true, ""note"": ""요청 안에서 최댓값 100 으로 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-07,naver_datalab,럭비티,gender=f,search_index,4.7619,"{""ages"": null, ""device"": null, ""gender"": ""f"", ""keywords"": [""럭비티"", ""럭비셔츠""], ""normalized"": true, ""note"": ""요청 안에서 최댓값 100 으로 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-07,naver_datalab,럭비티,gender=m,search_index,19.29824,"{""ages"": null, ""device"": null, ""gender"": ""m"", ""keywords"": [""럭비티"", ""럭비셔츠""], ""normalized"": true, ""note"": ""요청 안에서 최댓값 100 으로 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-08,naver_datalab,럭비티,,search_index,13.50844,"{""ages"": null, ""device"": null, ""gender"": null, ""keywords"": [""럭비티"", ""럭비셔츠""], ""normalized"": true, ""note"": ""요청 안에서 최댓값 100 으로 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
