observed_at,channel,keyword_raw,entity,metric_type,metric_value,metadata
2021-08-05,naver_shopping,럭비티,,click_index,7.60869,"{""category_code"": ""50000169"", ""kind"": ""keyword"", ""normalized"": true, ""note"": ""요청 안에서 정규화된 상대 지수"", ""params"": [""럭비티""], ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-05,naver_shopping,럭비티,gender=f,click_index,4.30622,"{""category_code"": ""50000169"", ""group"": ""f"", ""kind"": ""keyword_gender"", ""normalized"": true, ""note"": ""요청 안에서 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-05,naver_shopping,럭비티,gender=m,click_index,8.61244,"{""category_code"": ""50000169"", ""group"": ""m"", ""kind"": ""keyword_gender"", ""normalized"": true, ""note"": ""요청 안에서 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-05,naver_shopping,럭비티,age=20,click_index,3.38983,"{""category_code"": ""50000169"", ""group"": ""20"", ""kind"": ""keyword_age"", ""normalized"": true, ""note"": ""요청 안에서 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-05,naver_shopping,럭비티,age=30,click_index,3.38983,"{""category_code"": ""50000169"", ""group"": ""30"", ""kind"": ""keyword_age"", ""normalized"": true, ""note"": ""요청 안에서 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-05,naver_shopping,럭비티,age=40,click_index,8.47457,"{""category_code"": ""50000169"", ""group"": ""40"", ""kind"": ""keyword_age"", ""normalized"": true, ""note"": ""요청 안에서 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-06,naver_shopping,럭비티,,click_index,12.5,"{""category_code"": ""50000169"", ""kind"": ""keyword"", ""normalized"": true, ""note"": ""요청 안에서 정규화된 상대 지수"", ""params"": [""럭비티""], ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-06,naver_shopping,럭비티,gender=f,click_index,0.47846,"{""category_code"": ""50000169"", ""group"": ""f"", ""kind"": ""keyword_gender"", ""normalized"": true, ""note"": ""요청 안에서 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-06,naver_shopping,럭비티,gender=m,click_index,20.57416,"{""category_code"": ""50000169"", ""group"": ""m"", ""kind"": ""keyword_gender"", ""normalized"": true, ""note"": ""요청 안에서 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-06,naver_shopping,럭비티,age=10,click_index,2.82485,"{""category_code"": ""50000169"", ""group"": ""10"", ""kind"": ""keyword_age"", ""normalized"": true, ""note"": ""요청 안에서 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-06,naver_shopping,럭비티,age=20,click_index,3.38983,"{""category_code"": ""50000169"", ""group"": ""20"", ""kind"": ""keyword_age"", ""normalized"": true, ""note"": ""요청 안에서 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
2021-08-06,naver_shopping,럭비티,age=30,click_index,6.21468,"{""category_code"": ""50000169"", ""group"": ""30"", ""kind"": ""keyword_age"", ""normalized"": true, ""note"": ""요청 안에서 정규화된 상대 지수"", ""query_end"": ""2024-08-03"", ""query_start"": ""2021-08-05"", ""time_unit"": ""date""}"
