observed_at,collected_at,channel,keyword_raw,entity,metric_type,metric_value,metadata,run_id
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,LAUNDRY SHIRT (SKY BLUE),29cm:1195345,heart_count,1354.0,"{""brand_eng"": ""UNION BLUE"", ""brand_kor"": ""유니온 블루"", ""brand_no"": 13510, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1195345, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 24, ""sale_price"": 47430, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1195345""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,LAUNDRY SHIRT (SKY BLUE),29cm:1195345,review_count,337.0,"{""brand_eng"": ""UNION BLUE"", ""brand_kor"": ""유니온 블루"", ""brand_no"": 13510, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1195345, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 24, ""sale_price"": 47430, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1195345""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,LAUNDRY SHIRT (SKY BLUE),29cm:1195345@272103100,rank,24.0,"{""brand_eng"": ""UNION BLUE"", ""brand_kor"": ""유니온 블루"", ""brand_no"": 13510, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1195345, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 24, ""sale_price"": 47430, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1195345""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,LAUNDRY SHIRT (LEMON),29cm:1195350,heart_count,1537.0,"{""brand_eng"": ""UNION BLUE"", ""brand_kor"": ""유니온 블루"", ""brand_no"": 13510, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1195350, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 24, ""sale_price"": 47430, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1195350""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,LAUNDRY SHIRT (LEMON),29cm:1195350,review_count,499.0,"{""brand_eng"": ""UNION BLUE"", ""brand_kor"": ""유니온 블루"", ""brand_no"": 13510, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1195350, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 24, ""sale_price"": 47430, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1195350""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,LAUNDRY SHIRT (LEMON),29cm:1195350@272103100,rank,74.0,"{""brand_eng"": ""UNION BLUE"", ""brand_kor"": ""유니온 블루"", ""brand_no"": 13510, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1195350, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 24, ""sale_price"": 47430, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1195350""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,LAUNDRY SHIRT (LAVENDER GRAY),29cm:1419853,heart_count,2443.0,"{""brand_eng"": ""UNION BLUE"", ""brand_kor"": ""유니온 블루"", ""brand_no"": 13510, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1419853, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 24, ""sale_price"": 47430, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1419853""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,LAUNDRY SHIRT (LAVENDER GRAY),29cm:1419853,review_count,595.0,"{""brand_eng"": ""UNION BLUE"", ""brand_kor"": ""유니온 블루"", ""brand_no"": 13510, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1419853, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 24, ""sale_price"": 47430, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1419853""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,LAUNDRY SHIRT (LAVENDER GRAY),29cm:1419853@272103100,rank,90.0,"{""brand_eng"": ""UNION BLUE"", ""brand_kor"": ""유니온 블루"", ""brand_no"": 13510, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1419853, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 24, ""sale_price"": 47430, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1419853""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,[2PACK] 수피마 코튼 티셔츠,29cm:1501688,heart_count,3761.0,"{""brand_eng"": ""COOR"", ""brand_kor"": ""쿠어"", ""brand_no"": 15326, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""반소매 티셔츠"", ""category3_code"": 272103101, ""is_new"": false, ""item_no"": 1501688, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 45, ""sale_price"": 44900, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1501688""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,[2PACK] 수피마 코튼 티셔츠,29cm:1501688,review_count,783.0,"{""brand_eng"": ""COOR"", ""brand_kor"": ""쿠어"", ""brand_no"": 15326, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""반소매 티셔츠"", ""category3_code"": 272103101, ""is_new"": false, ""item_no"": 1501688, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 45, ""sale_price"": 44900, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1501688""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,[2PACK] 수피마 코튼 티셔츠,29cm:1501688@272103100,rank,55.0,"{""brand_eng"": ""COOR"", ""brand_kor"": ""쿠어"", ""brand_no"": 15326, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""반소매 티셔츠"", ""category3_code"": 272103101, ""is_new"": false, ""item_no"": 1501688, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 45, ""sale_price"": 44900, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1501688""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,TG1-SH08 프렌치 스트라이프 셔츠 - [그레이 그린],29cm:1678501,heart_count,10280.0,"{""brand_eng"": ""THOMAS MORE"", ""brand_kor"": ""토마스모어"", ""brand_no"": 2111, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1678501, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 15, ""sale_price"": 50750, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1678501""}",2026-09-06T08:07:14+00:00_6caed517
2026-09-06T17:07:00+09:00,2026-09-06T08:07:16+00:00,commerce_rank,TG1-SH08 프렌치 스트라이프 셔츠 - [그레이 그린],29cm:1678501,review_count,1579.0,"{""brand_eng"": ""THOMAS MORE"", ""brand_kor"": ""토마스모어"", ""brand_no"": 2111, ""category1"": ""남성의류"", ""category2"": ""상의"", ""category3"": ""긴소매 셔츠"", ""category3_code"": 272103106, ""is_new"": false, ""item_no"": 1678501, ""period_sort"": ""ONE_DAY"", ""platform"": ""29cm"", ""ranking_category_code"": ""272103100"", ""ranking_category_name"": ""남성의류>상의"", ""review_avg"": 5.0, ""sale_percent"": 15, ""sale_price"": 50750, ""sold_out"": false, ""url"": ""https://product.29cm.co.kr/catalog/1678501""}",2026-09-06T08:07:14+00:00_6caed517
